Catalogue/Guidebook Title,Exhibition Title,Publishing Info,Curator(s),Artwork Number,Artwork Title,Artist Name,Artwork Location,Location Lat.,Location Long.,Artwork Specific Loc.,Artwork Lat.,Artwork Long.,Artist BY/Est.,Artist DY,Artist Birthplace,Artist Workplace
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-6,The Interview (2008),Isįl Eğrikavuk,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1980,NA,"Izmit, Turkey","Istanbul, Turkey"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-7,Installation of Experience (2011),Valia Fetisov,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1989,NA,"Moscow, Russia","Moscow, Russia"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-8,Studio Pietà (King Kong Komplex) (2013),Simon Fujiwara,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1982,NA,"London, UK","Berlin, Germany"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-9,Xiangqian’s Museum I (2010),Xiangqian Hu,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1983,NA,"Guangdong, China","Beijing, China"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-10,Under-Writing Beirut - Mathaf (2013),Lamia Joreige,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1972,NA,"Beirut, Lebanon","Beirut, Lebanon"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-11,The Sovereign Forest (2012),Amar Kanwar,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1964,NA,"New Delhi, India","New Delhi, India"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-12,Lunda Bazaar (Secondhand Clothing Market) (2010),Basir Mahmood,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1985,NA,"Lahore, Pakistan","Lahore, Pakistan"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-13,Desert of Pharan/Room with a View (2011–2013),Ahmed Mater,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1979,NA,"Tabuk, Saudi Arabia","Abha, Saudi Arabia"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-14,Enclosed (2012–ongoing); A Peculiar Family Album (2012),Amina Menia,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1976,NA,"Algiers, Algeria","Algiers, Algeria"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-15,Citizens Band (2012),Angelica Mesiti,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1976,NA,"Sydney, Australia","Sydney, Australia; Paris, France"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-16,Falling Rope (2013),Haroon Mirza,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1977,NA,"London, UK","London, UK; Sheffield, UK"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-17,sound cells: FRIDAYS (2010),Magdi Mostafa,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1982,NA,"Tanta, Egypt","Cairo, Egypt"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-18,The Garden From Free Zone (2013),Sara Ramo,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1975,NA,"Madrid, Spain","Madrid, Spain; Belo Horizonte, Brazil"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-19,I Am My Tool – Wall Street (No. 1 – 6) (2012–2013),Shaobin Yang,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1963,NA,"Hebei, China","Beijing, China"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,3.2-20,Welcome to the Desert of the Real (2010),Jianwei Wang,Bank Street,25.359566,55.38489,"Former site of Sharjah Islamic Bank, Hisn Ave",25.358837,55.386935,1958,NA,"Sichuan, China","Beijing, China"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.6-1,Theme Park (2011–2012),Miki Kasahara,Arts Square,25.361648,55.386495,Arts Square Courtyard,25.361355,55.386469,1988,NA,"Nara, Japan","Nara, Japan; Kyoto, Japan"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.6-2,Oases (2012–2013),OFFICE Kersten Geers David Van Severen,Arts Square,25.361648,55.386495,Arts Square Courtyard,25.361355,55.386469,Est. 2002,NA,"Brussels, Belgium","Brussels, Belgium"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-1,Conspiracy Exceeds Consumption (2012),Mohamed Abdelkarim,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,1983,NA,"Minya, Egypt","Cairo, Egypt"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-2,Orellana’s Fantasia (2013),Carlos Amorales,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,1970,NA,"Mexico City, Mexico","Mexico City, Mexico"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-3,Neoliberalism(s) (2013),Burak Arikan,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,1976,NA,"Istanbul, Turkey","Istanbul, Turkey; New York, USA"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-4,Orientations (2010),Ismaïl Bahri,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,1978,NA,"Tunis, Tunisia","Tunis, Tunisia; Paris, France"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-5,Línea de Nazca (Nazca Line) (2008),Luz María Bedoya,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,1969,NA,"Talara, Peru","Lima, Peru"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-6,The Space of Nūn (2012); One Hundred Thousand Solitudes (2012); The Dialogue That Is Us (2013),Tony Chakar,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,1968,NA,"Beirut, Lebanon","Beirut, Lebanon"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-7,Various works (2012),Tiffany Chung,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,1969,NA,"Dnang, Vietnam","Ho Chi Minh City, Vietnam"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-8,In the Courtyard (2002),Cevdet Erek,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,1974,NA,"Istanbul, Turkey","Istanbul, Turkey"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-9,Infinite Rock (2013),Thilo Frank,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,1978,NA,"Waiblingen, Germany","Berlin, Germany"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-10,Anatomical Study I (2013); Anatomical Study II (2013),Runa Islam,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,1970,NA,"Dhaka, Bangladesh","London, UK"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-11,A Night of Prophecy (2002),Amar Kanwar,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,1964,NA,"New Delhi, India","New Delhi, India"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-12,Conversation (2013),Lúcia Koch,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,1966,NA,"Porto Alegre, Brazil","São Paulo, Brazil"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-13,Bronze Revirado (Overturned Bronze) (2011),Pablo Lobato,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,1976,NA,"Despacho, Brazil","Belo Horizonte, Brazil"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-14,13 Essential Rules for Understanding the World (2011),Basim Magdy,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,1977,NA,"Assiut, Egypt","Cairo, Egypt; Basel, Switzerland"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-15,Mappa Mundi ca. 1300 (2012),Jumana Manna,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,1987,NA,"Princeton, USA","Berlin, Germany"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-16,The Story Converter (2012),Nasir Nasrallah,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,1984,NA,"Sharjah, UAE","Sharjah, UAE"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-17,The Situation is Fluid (2011); Iftar (2004),Ayman Ramadan,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,1980,NA,"Sharqiya, Egypt","Amsterdam, The Netherlands; Cairo, Egypt"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-18,The Dislocation of Degree Zero (2013),Raqs Media Collective,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,Est. 1992,NA,"New Delhi, India","New Delhi, India"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-19,"Terra Incognita, et cetera (2009)",Tintin Wulia,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,1972,NA,"Denpasar, Indonesia","Melbourne, Australia"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.5-20,NA,Gulf Studies Research Library,Arts Square,25.361648,55.386495,Bait Al Serkal,25.361313,55.38619,NA,NA,NA,NA
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.8-1,The Unfinished Conversation (2012),John Akomfrah,Arts Square,25.361648,55.386495,Collections Building,25.360535,55.385718,1957,NA,"Accra, Ghana","London, UK"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.8-2,"Push the door softly and walk in, Or just stay standing where you are (2013)",Yang Fudong,Arts Square,25.361648,55.386495,Collections Building,25.360535,55.385718,1971,NA,"Beijing, China","Shanghai, China"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.8-3,"Beirut, Autopsy of a City (2010)",Lamia Joreige,Arts Square,25.361648,55.386495,Collections Building,25.360535,55.385718,1972,NA,"Beirut, Lebanon","Beirut, Lebanon"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.8-4,Theme Park (2011–2012),Miki Kasahara,Arts Square,25.361648,55.386495,Collections Building,25.360535,55.385718,1988,NA,"Nara, Japan","Nara, Japan; Kyoto, Japan"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.8-5,I’m on the “Us” Side and You Are on the Other (2010),Basir Mahmood,Arts Square,25.361648,55.386495,Collections Building,25.360535,55.385718,1985,NA,"Lahore, Pakistan","Lahore, Pakistan"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.8-6,Gamsutl (2012),Taus Makhacheva,Arts Square,25.361648,55.386495,Collections Building,25.360535,55.385718,1983,NA,"Dagestan, Russia","London, UK"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.8-7,The Goodness Regime (2013),Jumana Manna and Sille Storihle,Arts Square,25.361648,55.386495,Collections Building,25.360535,55.385718,1987; 1985,NA,"Princeton, USA; Tromsø, Norway","Berlin, Germany; Oslo, Norway"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.8-8,De-miners 1 (2011–ongoing),Marwan Rechmaoui,Arts Square,25.361648,55.386495,Collections Building,25.360535,55.385718,1964,NA,"Beirut, Lebanon","Beirut, Lebanon"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.8-9,Naqshbandi Greenacre Engagement (2010),Khaled Sabsabi,Arts Square,25.361648,55.386495,Collections Building,25.360535,55.385718,1965,NA,"Tripoli, Lebanon","Sydney, Australia"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.8-10,Làk-kat (2004),Anri Sala,Arts Square,25.361648,55.386495,Collections Building,25.360535,55.385718,1974,NA,"Tirana, Albania","Berlin, Germany"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.8-12,TXT (Engine of Wandering Words) (2012–2013),Ana Torfs,Arts Square,25.361648,55.386495,Collections Building,25.360535,55.385718,1963,NA,"Mortsel, Belgium","Brussels, Belgium"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.8-13,Hair Dance (2012); Lanyu Seascapes (2012); Shi Na Paradna (2012),Charwei Tsai,Arts Square,25.361648,55.386495,Collections Building,25.360535,55.385718,1980,NA,"Taipei, Taiwan","Paris, France; Taipei, Taiwan"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.3-1,The Sewage Pond’s Memoir (2011); Below the Surface (2012),Ravi Agarwal,Arts Square,25.361648,55.386495,Bait Obaid Al Shamsi,25.362198,55.38683,1958,NA,"New Delhi, India","New Delhi, India"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.3-2,Lowrider Bellydance (2004),Nevin Aladağ,Arts Square,25.361648,55.386495,Bait Obaid Al Shamsi,25.362198,55.38683,1972,NA,"Van, Turkey","Berlin, Germany"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.3-3,Circumvolution State of Mind (2013),Zeinab Alhashemi,Arts Square,25.361648,55.386495,Bait Obaid Al Shamsi,25.362198,55.38683,1986,NA,"Dubai, UAE","Dubai, UAE"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.3-4,Leitmotiv (2011),Cinthia Marcelle,Arts Square,25.361648,55.386495,Bait Obaid Al Shamsi,25.362198,55.38683,1974,NA,"Belo Horizonte, Brazil","Belo Horizonte, Brazil"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.3-5,Melodrama and Other Games (2013),Pedro Reyes,Arts Square,25.361648,55.386495,Bait Obaid Al Shamsi,25.362198,55.38683,1972,NA,"Mexico City, Mexico","Mexico City, Mexico"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.3-6,drifting through (2013),Fumito Urabe,Arts Square,25.361648,55.386495,Bait Obaid Al Shamsi,25.362198,55.38683,1984,NA,"Nagoya, Japan","Nagoya, Japan"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.1-1,Heritages (2013),Saâdane Afif,Arts Square,25.361648,55.386495,Bait Obaid Al Shamsi,25.362198,55.38683,1970,NA,"Vendôme, France","Berlin, Germany"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.1-2,Prayer Room (2012),Ammar Al Attar,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1981,NA,"Dubai, UAE","Ajman, UAE"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.1-3,Various works (2012),Mouneer Al Shaarani,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1952,NA,"Al Salamiya, Syria","Cairo, Egypt"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.1-4,Monovacation (2013),Burak Arikan,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1976,NA,"Istanbul, Turkey","Istanbul, Turkey; New York, USA"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.1-5,Various works (1968–1985),Yu-ichi Inoue,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1916,1985,"Tokyo, Japan","Tokyo, Japan"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.1-6,Postage Stamp UAE (2013),Khaled Jarrar,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1976,NA,"Jenin, Palestine","Ramallah, Palestine"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.1-7,Carpet (2006),Taus Makhacheva,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1983,NA,"Dagestan, Russia","London, UK"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.1-8,Various works (2001–2010),Hassan Massoudy,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1944,NA,"Najaf, Iraq","Paris, France"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,4.1-9,Various works (2009–2012),Wissam Shawkat,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1974,NA,"Basra, Iraq","Dubai, UAE"
